,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
0,18.0,8,307.0,131,3504,12.0,70,1,chevrolet chevelle malibu
1,15.0,8,350.0,136,3693,11.5,70,1,buick skylark 320
2,18.0,8,318.0,134,3436,11.0,70,1,plymouth satellite
3,16.0,8,304.0,134,3433,12.0,70,1,amc rebel sst
4,17.0,8,302.0,132,3449,10.5,70,1,ford torino
5,15.0,8,429.0,140,4341,10.0,70,1,ford galaxie 500
6,14.0,8,454.0,142,4354,9.0,70,1,chevrolet impala
7,14.0,8,440.0,142,4312,8.5,70,1,plymouth fury iii
8,14.0,8,455.0,143,4425,10.0,70,1,pontiac catalina
9,15.0,8,390.0,139,3850,8.5,70,1,amc ambassador dpl
10,15.0,8,383.0,137,3563,10.0,70,1,dodge challenger se
11,14.0,8,340.0,135,3609,8.0,70,1,plymouth 'cuda 340
12,15.0,8,400.0,134,3761,9.5,70,1,chevrolet monte carlo
13,14.0,8,455.0,143,3086,10.0,70,1,buick estate wagon (sw)
14,24.0,4,113.0,124,2372,15.0,70,3,toyota corona mark ii
15,22.0,6,198.0,124,2833,15.5,70,1,plymouth duster
16,18.0,6,199.0,124,2774,15.5,70,1,amc hornet
17,21.0,6,200.0,121,2587,16.0,70,1,ford maverick
18,27.0,4,97.0,122,2130,14.5,70,3,datsun pl510
19,26.0,4,97.0,108,1835,20.5,70,2,volkswagen 1131 deluxe sedan
20,25.0,4,110.0,122,2672,17.5,70,2,peugeot 504
21,24.0,4,107.0,123,2430,14.5,70,2,audi 100 ls
22,25.0,4,104.0,124,2375,17.5,70,2,saab 99e
23,26.0,4,121.0,128,2234,12.5,70,2,bmw 2002
24,21.0,6,199.0,123,2648,15.0,70,1,amc gremlin
25,10.0,8,360.0,142,4615,14.0,70,1,ford f250
26,10.0,8,307.0,140,4376,15.0,70,1,chevy c20
27,11.0,8,318.0,141,4382,13.5,70,1,dodge d200
28,9.0,8,304.0,139,4732,18.5,70,1,hi 1200d
29,27.0,4,97.0,122,2130,14.5,71,3,datsun pl510
30,28.0,4,140.0,123,2264,15.5,71,1,chevrolet vega 2300
31,25.0,4,113.0,124,2228,14.0,71,3,toyota corona
32,25.0,4,98.0,?,2046,19.0,71,1,ford pinto
33,19.0,6,232.0,125,2634,13.0,71,1,amc gremlin
34,16.0,6,225.0,126,3439,15.5,71,1,plymouth satellite custom
35,17.0,6,250.0,125,3329,15.5,71,1,chevrolet chevelle malibu
36,19.0,6,250.0,122,3302,15.5,71,1,ford torino 500
37,18.0,6,232.0,125,3288,15.5,71,1,amc matador
38,14.0,8,350.0,136,4209,12.0,71,1,chevrolet impala
39,14.0,8,400.0,137,4464,11.5,71,1,pontiac catalina brougham
40,14.0,8,351.0,134,4154,13.5,71,1,ford galaxie 500
41,14.0,8,318.0,134,4096,13.0,71,1,plymouth fury iii
42,12.0,8,383.0,138,4955,11.5,71,1,dodge monaco (sw)
43,13.0,8,400.0,137,4746,12.0,71,1,ford country squire (sw)
44,13.0,8,400.0,137,5140,12.0,71,1,pontiac safari (sw)
45,18.0,6,258.0,127,2962,13.5,71,1,amc hornet sportabout (sw)
46,22.0,4,140.0,118,2408,19.0,71,1,chevrolet vega (sw)
47,19.0,6,250.0,125,3282,15.0,71,1,pontiac firebird
48,18.0,6,250.0,122,3139,14.5,71,1,ford mustang
49,23.0,4,122.0,122,2220,14.0,71,1,mercury capri 2000
50,28.0,4,116.0,123,2123,14.0,71,2,opel 1900
51,30.0,4,79.0,117,2074,19.5,71,2,peugeot 304
52,30.0,4,88.0,119,2065,14.5,71,2,fiat 124b
53,31.0,4,71.0,116,1773,19.0,71,3,toyota corolla 1200
54,35.0,4,72.0,117,1613,18.0,71,3,datsun 1200
55,27.0,4,97.0,114,1834,19.0,71,2,volkswagen model 111
56,26.0,4,91.0,117,1955,20.5,71,1,plymouth cricket
57,24.0,4,113.0,124,2278,15.5,72,3,toyota corona hardtop
58,25.0,4,97.5,120,2126,17.0,72,1,dodge colt hardtop
59,23.0,4,97.0,112,2254,23.5,72,2,volkswagen type 3
60,20.0,4,140.0,123,2408,19.5,72,1,chevrolet vega
61,21.0,4,122.0,122,2226,16.5,72,1,ford pinto runabout
62,13.0,8,350.0,136,4274,12.0,72,1,chevrolet impala
63,14.0,8,400.0,137,4385,12.0,72,1,pontiac catalina
64,15.0,8,318.0,134,4135,13.5,72,1,plymouth fury iii
65,14.0,8,351.0,134,4129,13.0,72,1,ford galaxie 500
66,17.0,8,304.0,134,3672,11.5,72,1,amc ambassador sst
67,11.0,8,429.0,141,4633,11.0,72,1,mercury marquis
68,13.0,8,350.0,135,4502,13.5,72,1,buick lesabre custom
69,12.0,8,350.0,135,4456,13.5,72,1,oldsmobile delta 88 royale
70,13.0,8,400.0,139,4422,12.5,72,1,chrysler newport royal
71,19.0,3,70.0,124,2330,13.5,72,3,mazda rx2 coupe
72,15.0,8,304.0,134,3892,12.5,72,1,amc matador (sw)
73,13.0,8,307.0,131,4098,14.0,72,1,chevrolet chevelle concours (sw)
74,13.0,8,302.0,132,4294,16.0,72,1,ford gran torino (sw)
75,14.0,8,318.0,134,4077,14.0,72,1,plymouth satellite custom (sw)
76,18.0,4,121.0,127,2933,14.5,72,2,volvo 145e (sw)
77,22.0,4,121.0,119,2511,18.0,72,2,volkswagen 411 (sw)
78,21.0,4,120.0,122,2979,19.5,72,2,peugeot 504 (sw)
79,26.0,4,96.0,117,2189,18.0,72,2,renault 12 (sw)
80,22.0,4,122.0,122,2395,16.0,72,1,ford pinto (sw)
81,28.0,4,97.0,123,2288,17.0,72,3,datsun 510 (sw)
82,23.0,4,120.0,124,2506,14.5,72,3,toyouta corona mark ii (sw)
83,28.0,4,98.0,120,2164,15.0,72,1,dodge colt (sw)
84,27.0,4,97.0,122,2100,16.5,72,3,toyota corolla 1600 (sw)
85,13.0,8,350.0,137,4100,13.0,73,1,buick century 350
86,14.0,8,304.0,134,3672,11.5,73,1,amc matador
87,13.0,8,350.0,133,3988,13.0,73,1,chevrolet malibu
88,14.0,8,302.0,132,4042,14.5,73,1,ford gran torino
89,15.0,8,318.0,134,3777,12.5,73,1,dodge coronet custom
90,12.0,8,429.0,140,4952,11.5,73,1,mercury marquis brougham
91,13.0,8,400.0,134,4464,12.0,73,1,chevrolet caprice classic
92,13.0,8,351.0,135,4363,13.0,73,1,ford ltd
93,14.0,8,318.0,134,4237,14.5,73,1,plymouth fury gran sedan
94,13.0,8,440.0,142,4735,11.0,73,1,chrysler new yorker brougham
95,12.0,8,455.0,143,4951,11.0,73,1,buick electra 225 custom
96,13.0,8,360.0,137,3821,11.0,73,1,amc ambassador brougham
97,18.0,6,225.0,126,3121,16.5,73,1,plymouth valiant
98,16.0,6,250.0,125,3278,18.0,73,1,chevrolet nova custom
99,18.0,6,232.0,125,2945,16.0,73,1,amc hornet
100,18.0,6,250.0,122,3021,16.5,73,1,ford maverick
101,23.0,6,198.0,124,2904,16.0,73,1,plymouth duster
102,26.0,4,97.0,108,1950,21.0,73,2,volkswagen super beetle
103,11.0,8,400.0,134,4997,14.0,73,1,chevrolet impala
104,12.0,8,400.0,136,4906,12.5,73,1,ford country
105,13.0,8,360.0,137,4654,13.0,73,1,plymouth custom suburb
106,12.0,8,350.0,138,4499,12.5,73,1,oldsmobile vista cruiser
107,18.0,6,232.0,125,2789,15.0,73,1,amc gremlin
108,20.0,4,97.0,122,2279,19.0,73,3,toyota carina
109,21.0,4,140.0,118,2401,19.5,73,1,chevrolet vega
110,22.0,4,108.0,124,2379,16.5,73,3,datsun 610
111,18.0,3,70.0,123,2124,13.5,73,3,maxda rx3
112,19.0,4,122.0,121,2310,18.5,73,1,ford pinto
113,21.0,6,155.0,126,2472,14.0,73,1,mercury capri v6
114,26.0,4,98.0,123,2265,15.5,73,2,fiat 124 sport coupe
115,15.0,8,350.0,133,4082,13.0,73,1,chevrolet monte carlo s
116,16.0,8,400.0,143,4278,9.5,73,1,pontiac grand prix
117,29.0,4,68.0,110,1867,19.5,73,2,fiat 128
118,24.0,4,116.0,119,2158,15.5,73,2,opel manta
119,20.0,4,114.0,123,2582,14.0,73,2,audi 100ls
120,19.0,4,121.0,127,2868,15.5,73,2,volvo 144ea
121,15.0,8,318.0,134,3399,11.0,73,1,dodge dart custom
122,24.0,4,121.0,127,2660,14.0,73,2,saab 99le
123,20.0,6,156.0,129,2807,13.5,73,3,toyota mark ii
124,11.0,8,350.0,138,3664,11.0,73,1,oldsmobile omega
125,20.0,6,198.0,124,3102,16.5,74,1,plymouth duster
126,21.0,6,200.0,?,2875,17.0,74,1,ford maverick
127,19.0,6,232.0,125,2901,16.0,74,1,amc hornet
128,15.0,6,250.0,125,3336,17.0,74,1,chevrolet nova
129,31.0,4,79.0,116,1950,19.0,74,3,datsun b210
130,26.0,4,122.0,120,2451,16.5,74,1,ford pinto
131,32.0,4,71.0,116,1836,21.0,74,3,toyota corolla 1200
132,25.0,4,140.0,119,2542,17.0,74,1,chevrolet vega
133,16.0,6,250.0,125,3781,17.0,74,1,chevrolet chevelle malibu classic
134,16.0,6,258.0,127,3632,18.0,74,1,amc matador
135,18.0,6,225.0,126,3613,16.5,74,1,plymouth satellite sebring
136,16.0,8,302.0,132,4141,14.0,74,1,ford gran torino
137,13.0,8,350.0,134,4699,14.5,74,1,buick century luxus (sw)
138,14.0,8,318.0,134,4457,13.5,74,1,dodge coronet custom (sw)
139,14.0,8,302.0,132,4638,16.0,74,1,ford gran torino (sw)
140,14.0,8,304.0,134,4257,15.5,74,1,amc matador (sw)
141,29.0,4,98.0,121,2219,16.5,74,2,audi fox
142,26.0,4,79.0,116,1963,15.5,74,2,volkswagen dasher
143,26.0,4,97.0,120,2300,14.5,74,2,opel manta
144,31.0,4,76.0,111,1649,16.5,74,3,toyota corona
145,32.0,4,83.0,114,2003,19.0,74,3,datsun 710
146,28.0,4,90.0,119,2125,14.5,74,1,dodge colt
147,24.0,4,90.0,119,2108,15.5,74,2,fiat 128
148,26.0,4,116.0,119,2246,14.0,74,2,fiat 124 tc
149,24.0,4,120.0,124,2489,15.0,74,3,honda civic
150,26.0,4,108.0,123,2391,15.5,74,3,subaru
151,31.0,4,79.0,116,2000,16.0,74,2,fiat x1.9
152,19.0,6,225.0,124,3264,16.0,75,1,plymouth valiant custom
153,18.0,6,250.0,126,3459,16.0,75,1,chevrolet nova
154,15.0,6,250.0,118,3432,21.0,75,1,mercury monarch
155,15.0,6,250.0,118,3158,19.5,75,1,ford maverick
156,16.0,8,400.0,137,4668,11.5,75,1,pontiac catalina
157,15.0,8,350.0,133,4440,14.0,75,1,chevrolet bel air
158,16.0,8,318.0,134,4498,14.5,75,1,plymouth grand fury
159,14.0,8,351.0,134,4657,13.5,75,1,ford ltd
160,17.0,6,231.0,127,3907,21.0,75,1,buick century
161,16.0,6,250.0,126,3897,18.5,75,1,chevroelt chevelle malibu
162,15.0,6,258.0,127,3730,19.0,75,1,amc matador
163,18.0,6,225.0,124,3785,19.0,75,1,plymouth fury
164,21.0,6,231.0,127,3039,15.0,75,1,buick skyhawk
165,20.0,8,262.0,127,3221,13.5,75,1,chevrolet monza 2+2
166,13.0,8,302.0,131,3169,12.0,75,1,ford mustang ii
167,29.0,4,97.0,119,2171,16.0,75,3,toyota corolla
168,23.0,4,140.0,121,2639,17.0,75,1,ford pinto
169,20.0,6,232.0,125,2914,16.0,75,1,amc gremlin
170,23.0,4,140.0,120,2592,18.5,75,1,pontiac astro
171,24.0,4,134.0,124,2702,13.5,75,3,toyota corona
172,25.0,4,90.0,118,2223,16.5,75,2,volkswagen dasher
173,24.0,4,119.0,124,2545,17.0,75,3,datsun 710
174,18.0,6,171.0,124,2984,14.5,75,1,ford pinto
175,29.0,4,90.0,117,1937,14.0,75,2,volkswagen rabbit
176,19.0,6,232.0,123,3211,17.0,75,1,amc pacer
177,23.0,4,115.0,124,2694,15.0,75,2,audi 100ls
178,23.0,4,120.0,122,2957,17.0,75,2,peugeot 504
179,22.0,4,121.0,125,2945,14.5,75,2,volvo 244dl
180,25.0,4,121.0,128,2671,13.5,75,2,saab 99le
181,33.0,4,91.0,111,1795,17.5,75,3,honda civic cvcc
182,28.0,4,107.0,122,2464,15.5,76,2,fiat 131
183,25.0,4,116.0,120,2220,16.9,76,2,opel 1900
184,25.0,4,140.0,123,2572,14.9,76,1,capri ii
185,26.0,4,98.0,120,2255,17.7,76,1,dodge colt
186,27.0,4,101.0,121,2202,15.3,76,2,renault 12tl
187,17.5,8,305.0,132,4215,13.0,76,1,chevrolet chevelle malibu classic
188,16.0,8,318.0,134,4190,13.0,76,1,dodge coronet brougham
189,15.5,8,304.0,129,3962,13.9,76,1,amc matador
190,14.5,8,351.0,134,4215,12.8,76,1,ford gran torino
191,22.0,6,225.0,125,3233,15.4,76,1,plymouth valiant
192,22.0,6,250.0,126,3353,14.5,76,1,chevrolet nova
193,24.0,6,200.0,120,3012,17.6,76,1,ford maverick
194,22.5,6,232.0,123,3085,17.6,76,1,amc hornet
195,29.0,4,85.0,111,2035,22.2,76,1,chevrolet chevette
196,24.5,4,98.0,114,2164,22.1,76,1,chevrolet woody
197,29.0,4,90.0,117,1937,14.2,76,2,vw rabbit
198,33.0,4,91.0,111,1795,17.4,76,3,honda civic
199,20.0,6,225.0,125,3651,17.7,76,1,dodge aspen se
200,18.0,6,250.0,120,3574,21.0,76,1,ford granada ghia
201,18.5,6,250.0,127,3645,16.2,76,1,pontiac ventura sj
202,17.5,6,258.0,124,3193,17.8,76,1,amc pacer d/l
203,29.5,4,97.0,118,1825,12.2,76,2,volkswagen rabbit
204,32.0,4,85.0,117,1990,17.0,76,3,datsun b-210
205,28.0,4,97.0,119,2155,16.4,76,3,toyota corolla
206,26.5,4,140.0,118,2565,13.6,76,1,ford pinto
207,20.0,4,130.0,125,3150,15.7,76,2,volvo 245
208,13.0,8,318.0,134,3940,13.2,76,1,plymouth volare premier v8
209,19.0,4,120.0,122,3270,21.9,76,2,peugeot 504
210,19.0,6,156.0,127,2930,15.5,76,3,toyota mark ii
211,16.5,6,168.0,129,3820,16.7,76,2,mercedes-benz 280s
212,16.5,8,350.0,138,4380,12.1,76,1,cadillac seville
213,13.0,8,350.0,133,4055,12.0,76,1,chevy c10
214,13.0,8,302.0,131,3870,15.0,76,1,ford f108
215,13.0,8,318.0,134,3755,14.0,76,1,dodge d100
216,31.5,4,98.0,117,2045,18.5,77,3,honda accord cvcc
217,30.0,4,111.0,120,2155,14.8,77,1,buick opel isuzu deluxe
218,36.0,4,79.0,113,1825,18.6,77,2,renault 5 gtl
219,25.5,4,122.0,124,2300,15.5,77,1,plymouth arrow gs
220,33.5,4,85.0,117,1945,16.8,77,3,datsun f-10 hatchback
221,17.5,8,305.0,133,3880,12.5,77,1,chevrolet caprice classic
222,17.0,8,260.0,127,4060,19.0,77,1,oldsmobile cutlass supreme
223,15.5,8,318.0,133,4140,13.7,77,1,dodge monaco brougham
224,15.0,8,302.0,131,4295,14.9,77,1,mercury cougar brougham
225,17.5,6,250.0,127,3520,16.4,77,1,chevrolet concours
226,20.5,6,231.0,126,3425,16.9,77,1,buick skylark
227,19.0,6,225.0,125,3630,17.7,77,1,plymouth volare custom
228,18.5,6,250.0,125,3525,19.0,77,1,ford granada
229,16.0,8,400.0,138,4220,11.1,77,1,pontiac grand prix lj
230,15.5,8,350.0,137,4165,11.4,77,1,chevrolet monte carlo landau
231,15.5,8,400.0,139,4325,12.2,77,1,chrysler cordoba
232,16.0,8,351.0,134,4335,14.5,77,1,ford thunderbird
233,29.0,4,97.0,120,1940,14.5,77,2,volkswagen rabbit custom
234,24.5,4,151.0,122,2740,16.0,77,1,pontiac sunbird coupe
235,26.0,4,97.0,119,2265,18.2,77,3,toyota corolla liftback
236,25.5,4,140.0,122,2755,15.8,77,1,ford mustang ii 2+2
237,30.5,4,98.0,115,2051,17.0,77,1,chevrolet chevette
238,33.5,4,98.0,121,2075,15.9,77,1,dodge colt m/m
239,30.0,4,97.0,116,1985,16.4,77,3,subaru dl
240,30.5,4,97.0,120,2190,14.1,77,2,volkswagen dasher
241,22.0,6,146.0,124,2815,14.5,77,3,datsun 810
242,21.5,4,121.0,127,2600,12.8,77,2,bmw 320i
243,21.5,3,80.0,127,2720,13.5,77,3,mazda rx-4
244,43.1,4,90.0,109,1985,21.5,78,2,volkswagen rabbit custom diesel
245,36.1,4,98.0,116,1800,14.4,78,1,ford fiesta
246,32.8,4,78.0,111,1985,19.4,78,3,mazda glc deluxe
247,39.4,4,85.0,117,2070,18.6,78,3,datsun b210 gx
248,36.1,4,91.0,114,1800,16.4,78,3,honda civic cvcc
249,19.9,8,260.0,127,3365,15.5,78,1,oldsmobile cutlass salon brougham
250,19.4,8,318.0,132,3735,13.2,78,1,dodge diplomat
251,20.2,8,302.0,132,3570,12.8,78,1,mercury monarch ghia
252,19.2,6,231.0,126,3535,19.2,78,1,pontiac phoenix lj
253,20.5,6,200.0,124,3155,18.2,78,1,chevrolet malibu
254,20.2,6,200.0,121,2965,15.8,78,1,ford fairmont (auto)
255,25.1,4,140.0,122,2720,15.4,78,1,ford fairmont (man)
256,20.5,6,225.0,125,3430,17.2,78,1,plymouth volare
257,19.4,6,232.0,123,3210,17.2,78,1,amc concord
258,20.6,6,231.0,126,3380,15.8,78,1,buick century special
259,20.8,6,200.0,121,3070,16.7,78,1,mercury zephyr
260,18.6,6,225.0,127,3620,18.7,78,1,dodge aspen
261,18.1,6,258.0,129,3410,15.1,78,1,amc concord d/l
262,19.2,8,305.0,133,3425,13.2,78,1,chevrolet monte carlo landau
263,17.7,6,231.0,136,3445,13.4,78,1,buick regal sport coupe (turbo)
264,18.1,8,302.0,132,3205,11.2,78,1,ford futura
265,17.5,8,318.0,132,4080,13.7,78,1,dodge magnum xe
266,30.0,4,98.0,117,2155,16.5,78,1,chevrolet chevette
267,27.5,4,134.0,124,2560,14.2,78,3,toyota corona
268,27.2,4,119.0,124,2300,14.7,78,3,datsun 510
269,30.9,4,105.0,119,2230,14.5,78,1,dodge omni
270,21.1,4,134.0,124,2515,14.8,78,3,toyota celica gt liftback
271,23.2,4,156.0,126,2745,16.7,78,1,plymouth sapporo
272,23.8,4,151.0,121,2855,17.6,78,1,oldsmobile starfire sx
273,23.9,4,119.0,124,2405,14.9,78,3,datsun 200-sx
274,20.3,5,131.0,126,2830,15.9,78,2,audi 5000
275,17.0,6,163.0,130,3140,13.6,78,2,volvo 264gl
276,21.6,4,121.0,128,2795,15.7,78,2,saab 99gle
277,16.2,6,163.0,131,3410,15.8,78,2,peugeot 604sl
278,31.5,4,89.0,118,1990,14.9,78,2,volkswagen scirocco
279,29.5,4,98.0,117,2135,16.6,78,3,honda accord lx
280,21.5,6,231.0,128,3245,15.4,79,1,pontiac lemans v6
281,19.8,6,200.0,121,2990,18.2,79,1,mercury zephyr 6
282,22.3,4,140.0,122,2890,17.3,79,1,ford fairmont 4
283,20.2,6,232.0,123,3265,18.2,79,1,amc concord dl 6
284,20.6,6,225.0,127,3360,16.6,79,1,dodge aspen 6
285,17.0,8,305.0,131,3840,15.4,79,1,chevrolet caprice classic
286,17.6,8,302.0,131,3725,13.4,79,1,ford ltd landau
287,16.5,8,351.0,132,3955,13.2,79,1,mercury grand marquis
288,18.2,8,318.0,132,3830,15.2,79,1,dodge st. regis
289,16.9,8,350.0,135,4360,14.9,79,1,buick estate wagon (sw)
290,15.5,8,351.0,133,4054,14.3,79,1,ford country squire (sw)
291,19.2,8,267.0,130,3605,15.0,79,1,chevrolet malibu classic (sw)
292,18.5,8,360.0,134,3940,13.0,79,1,chrysler lebaron town @ country (sw)
293,31.9,4,89.0,118,1925,14.0,79,2,vw rabbit custom
294,34.1,4,86.0,116,1975,15.2,79,3,maxda glc deluxe
295,35.7,4,98.0,120,1915,14.4,79,1,dodge colt hatchback custom
296,27.4,4,121.0,120,2670,15.0,79,1,amc spirit dl
297,25.4,5,183.0,119,3530,20.1,79,2,mercedes benz 300d
298,23.0,8,350.0,130,3900,17.4,79,1,cadillac eldorado
299,27.2,4,141.0,118,3190,24.8,79,2,peugeot 504
300,23.9,8,260.0,123,3420,22.2,79,1,oldsmobile cutlass salon brougham
301,34.2,4,105.0,117,2200,13.2,79,1,plymouth horizon
302,34.5,4,105.0,117,2150,14.9,79,1,plymouth horizon tc3
303,31.8,4,85.0,116,2020,19.2,79,3,datsun 210
304,37.3,4,91.0,117,2130,14.7,79,2,fiat strada custom
305,28.4,4,151.0,123,2670,16.0,79,1,buick skylark limited
306,28.8,6,173.0,128,2595,11.3,79,1,chevrolet citation
307,26.8,6,173.0,128,2700,12.9,79,1,oldsmobile omega brougham
308,33.5,4,151.0,123,2556,13.2,79,1,pontiac phoenix
309,41.5,4,98.0,119,2144,14.7,80,2,vw rabbit
310,38.1,4,89.0,114,1968,18.8,80,3,toyota corolla tercel
311,32.1,4,98.0,117,2120,15.5,80,1,chevrolet chevette
312,37.2,4,86.0,116,2019,16.4,80,3,datsun 310
313,28.0,4,151.0,123,2678,16.5,80,1,chevrolet citation
314,26.4,4,140.0,122,2870,18.1,80,1,ford fairmont
315,24.3,4,151.0,123,3003,20.1,80,1,amc concord
316,19.1,6,225.0,123,3381,18.7,80,1,dodge aspen
317,34.3,4,97.0,120,2188,15.8,80,2,audi 4000
318,29.8,4,134.0,123,2711,15.5,80,3,toyota corona liftback
319,31.3,4,120.0,119,2542,17.5,80,3,mazda 626
320,37.0,4,119.0,123,2434,15.0,80,3,datsun 510 hatchback
321,32.2,4,108.0,119,2265,15.2,80,3,toyota corolla
322,46.6,4,86.0,116,2110,17.9,80,3,mazda glc
323,27.9,4,156.0,126,2800,14.4,80,1,dodge colt
324,40.8,4,85.0,116,2110,19.2,80,3,datsun 210
325,44.3,4,90.0,109,2085,21.7,80,2,vw rabbit c (diesel)
326,43.4,4,90.0,109,2335,23.7,80,2,vw dasher (diesel)
327,36.4,5,121.0,116,2950,19.9,80,2,audi 5000s (diesel)
328,30.0,4,146.0,116,3250,21.8,80,2,mercedes-benz 240d
329,44.6,4,91.0,116,1850,13.8,80,3,honda civic 1500 gl
330,40.9,4,85.0,?,1835,17.3,80,2,renault lecar deluxe
331,33.8,4,97.0,116,2145,18.0,80,3,subaru dl
332,29.8,4,89.0,115,1845,15.3,80,2,vokswagen rabbit
333,32.7,6,168.0,131,2910,11.4,80,3,datsun 280-zx
334,23.7,3,70.0,125,2420,12.5,80,3,mazda rx-7 gs
335,35.0,4,122.0,122,2500,15.1,80,2,triumph tr7 coupe
336,23.6,4,140.0,?,2905,14.3,80,1,ford mustang cobra
337,32.4,4,107.0,118,2290,17.0,80,3,honda accord
338,27.2,4,135.0,121,2490,15.7,81,1,plymouth reliant
339,26.6,4,151.0,121,2635,16.4,81,1,buick skylark
340,25.8,4,156.0,123,2620,14.4,81,1,dodge aries wagon (sw)
341,23.5,6,173.0,127,2725,12.6,81,1,chevrolet citation
342,30.0,4,135.0,121,2385,12.9,81,1,plymouth reliant
343,39.1,4,79.0,113,1755,16.9,81,3,toyota starlet
344,39.0,4,86.0,115,1875,16.4,81,1,plymouth champ
345,35.1,4,81.0,114,1760,16.1,81,3,honda civic 1300
346,32.3,4,97.0,116,2065,17.8,81,3,subaru
347,37.0,4,85.0,116,1975,19.4,81,3,datsun 210 mpg
348,37.7,4,89.0,115,2050,17.3,81,3,toyota tercel
349,34.1,4,91.0,117,1985,16.0,81,3,mazda glc 4
350,34.7,4,105.0,115,2215,14.9,81,1,plymouth horizon 4
351,34.4,4,98.0,116,2045,16.2,81,1,ford escort 4w
352,29.9,4,98.0,116,2380,20.7,81,1,ford escort 2h
353,33.0,4,105.0,118,2190,14.2,81,2,volkswagen jetta
354,34.5,4,100.0,?,2320,15.8,81,2,renault 18i
355,33.7,4,107.0,119,2210,14.4,81,3,honda prelude
356,32.4,4,108.0,119,2350,16.8,81,3,toyota corolla
357,32.9,4,119.0,125,2615,14.8,81,3,datsun 200sx
358,31.6,4,120.0,118,2635,18.3,81,3,mazda 626
359,28.1,4,141.0,120,3230,20.4,81,2,peugeot 505s turbo diesel
360,30.7,6,145.0,119,3160,19.6,81,2,volvo diesel
361,25.4,6,168.0,128,2900,12.6,81,3,toyota cressida
362,24.2,6,146.0,129,2930,13.8,81,3,datsun 810 maxima
363,22.4,6,231.0,127,3415,15.8,81,1,buick century
364,26.6,8,350.0,126,3725,19.0,81,1,oldsmobile cutlass ls
365,20.2,6,200.0,122,3060,17.1,81,1,ford granada gl
366,17.6,6,225.0,121,3465,16.6,81,1,chrysler lebaron salon
367,28.0,4,112.0,122,2605,19.6,82,1,chevrolet cavalier
368,27.0,4,112.0,122,2640,18.6,82,1,chevrolet cavalier wagon
369,34.0,4,112.0,122,2395,18.0,82,1,chevrolet cavalier 2-door
370,31.0,4,112.0,121,2575,16.2,82,1,pontiac j2000 se hatchback
371,29.0,4,135.0,121,2525,16.0,82,1,dodge aries se
372,27.0,4,151.0,123,2735,18.0,82,1,pontiac phoenix
373,24.0,4,140.0,123,2865,16.4,82,1,ford fairmont futura
374,23.0,4,151.0,?,3035,20.5,82,1,amc concord dl
375,36.0,4,105.0,118,1980,15.3,82,2,volkswagen rabbit l
376,37.0,4,91.0,117,2025,18.2,82,3,mazda glc custom l
377,31.0,4,91.0,117,1970,17.6,82,3,mazda glc custom
378,38.0,4,105.0,115,2125,14.7,82,1,plymouth horizon miser
379,36.0,4,98.0,117,2125,17.3,82,1,mercury lynx l
380,36.0,4,120.0,122,2160,14.5,82,3,nissan stanza xe
381,36.0,4,107.0,119,2205,14.5,82,3,honda accord
382,34.0,4,108.0,117,2245,16.9,82,3,toyota corolla
383,38.0,4,91.0,116,1965,15.0,82,3,honda civic
384,32.0,4,91.0,116,1965,15.7,82,3,honda civic (auto)
385,38.0,4,91.0,116,1995,16.2,82,3,datsun 310 gx
386,25.0,6,181.0,127,2945,16.4,82,1,buick century limited
387,38.0,6,262.0,121,3015,17.0,82,1,oldsmobile cutlass ciera (diesel)
388,26.0,4,156.0,123,2585,14.5,82,1,chrysler lebaron medallion
389,22.0,6,232.0,127,2835,14.7,82,1,ford granada l
390,32.0,4,144.0,124,2665,13.9,82,3,toyota celica gt
391,36.0,4,135.0,121,2370,13.0,82,1,dodge charger 2.2
392,27.0,4,151.0,123,2950,17.3,82,1,chevrolet camaro
393,27.0,4,140.0,122,2790,15.6,82,1,ford mustang gl
394,44.0,4,97.0,111,2130,24.6,82,2,vw pickup
395,32.0,4,135.0,121,2295,11.6,82,1,dodge rampage
396,28.0,4,120.0,120,2625,18.6,82,1,ford ranger
397,31.0,4,119.0,121,2720,19.4,82,1,chevy s-10
